Designator,Mid X,Mid Y,Rotation,Layer
C603,107.606,-66.002,90.0,top
C604,102.272,-101.736,90.0,top
C605,101.764,-66.764,90.0,top
C606,89.318,-81.75,0.0,top
C607,112.218,-82.004,0.0,top
C608,107.86,-99.236,90.0,top
J615,104.812,-87.13,90.0,top
L601,101.764,-70.828,180.0,top
L602,107.098,-70.574,90.0,top
L603,97.192,-79.3565,-90.0,top
L604,97.192,-83.8895,-90.0,top
L605,111.67,-77.432,90.0,top
L606,107.4595,-91.148,0.0,top
